Location,drinking_water
Afghanistan,52.39
Albania,89.88
Algeria,88.69
Andorra,100.0
Angola,26.71
Antigua and Barbuda,96.74
Argentina,92.98
Armenia,99.6
Australia,100.0
Austria,100.0
Azerbaijan,79.28
Bahamas,98.89
Bahrain,100.0
Bangladesh,96.43
Barbados,98.47
Belarus,95.94
Belgium,100.0
Belize,95.65
Benin,57.87
Bhutan,96.13
Bolivia (Plurinational State of),75.41
Bosnia and Herzegovina,94.85
Botswana,71.89
Brazil,87.0
Brunei Darussalam,99.9
Bulgaria,98.24
Burkina Faso,37.09
Burundi,55.56
Cabo Verde,72.87
Cambodia,69.86
Cameroon,39.05
Canada,98.77
Central African Republic,33.75
Chad,29.77
Chile,98.16
China,84.21
Colombia,84.64
Comoros,76.91
Congo,41.39
Cook Islands,99.88
Costa Rica,98.8
Croatia,99.57
Cuba,89.67
Cyprus,99.55
Czechia,99.82
Côte d’Ivoire,57.58
Democratic People's Republic of Korea,91.62
Democratic Republic of the Congo,22.34
Denmark,100.0
Djibouti,47.96
Dominica,96.5
Dominican Republic,89.36
Ecuador,81.88
Egypt,98.57
El Salvador,89.25
Equatorial Guinea,30.78
Eritrea,27.8
Estonia,99.19
Eswatini,59.37
Ethiopia,29.11
Fiji,88.84
Finland,100.0
France,100.0
Gabon,55.05
Gambia,63.37
Georgia,95.26
Germany,100.0
Ghana,66.04
Greece,100.0
Grenada,95.63
Guatemala,88.97
Guinea,49.72
Guinea-Bissau,52.76
Guyana,100.0
Haiti,42.42
Honduras,87.31
Hungary,100.0
Iceland,100.0
India,88.9
Indonesia,80.16
Iran (Islamic Republic of),89.01
Iraq,86.56
Ireland,96.99
Israel,100.0
Italy,99.38
Jamaica,84.4
Japan,98.93
Jordan,97.78
Kazakhstan,89.76
Kenya,48.18
Kiribati,69.08
Kuwait,100.0
Kyrgyzstan,81.39
Lao People's Democratic Republic,71.11
Latvia,97.88
Lebanon,92.26
Lesotho,59.79
Liberia,60.81
Libya,97.64
Lithuania,90.72
Luxembourg,100.0
Madagascar,34.78
Malawi,63.31
Malaysia,89.93
Maldives,98.25
Mali,64.59
Malta,100.0
Marshall Islands,83.36
Mauritania,46.69
Mauritius,99.83
Mexico,94.26
Micronesia (Federated States of),78.57
Monaco,100.0
Mongolia,52.86
Montenegro,95.91
Morocco,67.69
Mozambique,35.54
Myanmar,74.82
Namibia,68.89
Nauru,99.48
Nepal,87.48
Netherlands,100.0
New Zealand,100.0
Nicaragua,59.5
Niger,41.6
Nigeria,53.11
Niue,98.2
Norway,100.0
Oman,77.9
Pakistan,88.84
Palau,100.0
Panama,90.52
Papua New Guinea,33.38
Paraguay,94.27
Peru,72.73
Philippines,88.68
Poland,98.15
Portugal,100.0
Qatar,99.69
Republic of Korea,99.56
Republic of Moldova,82.08
Romania,100.0
Russian Federation,91.65
Rwanda,51.22
Saint Lucia,97.82
Saint Vincent and the Grenadines,95.15
Samoa,96.25
San Marino,100.0
Sao Tome and Principe,75.72
Saudi Arabia,99.69
Senegal,66.61
Serbia,84.09
Seychelles,96.25
Sierra Leone,46.9
Singapore,100.0
Slovakia,100.0
Slovenia,99.4
Solomon Islands,63.01
Somalia,26.53
South Africa,78.97
South Sudan,36.4
Spain,100.0
Sri Lanka,86.36
Sudan,51.71
Suriname,87.35
Sweden,100.0
Switzerland,100.0
Syrian Arab Republic,94.57
Tajikistan,71.69
Thailand,99.02
The former Yugoslav Republic of Macedonia,90.58
Timor-Leste,65.32
Togo,46.19
Tonga,99.77
Trinidad and Tobago,98.18
Tunisia,87.26
Turkey,98.63
Turkmenistan,97.01
Tuvalu,98.78
Uganda,38.23
Ukraine,91.33
United Arab Emirates,96.77
United Kingdom of Great Britain and Northern Ireland,100.0
United Republic of Tanzania,39.14
United States of America,96.97
Uruguay,92.64
Uzbekistan,95.64
Vanuatu,86.98
Venezuela (Bolivarian Republic of),95.83
Viet Nam,90.73
Yemen,54.7
Zambia,40.59
Zimbabwe,51.03
