Location,HepB
Afghanistan,0.5
Albania,1.29
Algeria,0.22
Andorra,0.08
Angola,4.85
Antigua and Barbuda,0.38
Argentina,0.01
Armenia,0.25
Australia,0.15
Austria,0.32
Azerbaijan,0.27
Bahamas,0.31
Bahrain,0.18
Bangladesh,1.38
Barbados,0.34
Belarus,0.2
Belgium,0.18
Belize,1.49
Benin,5.55
Bhutan,0.81
Bolivia (Plurinational State of),0.2
Bosnia and Herzegovina,0.3
Botswana,0.19
Brazil,0.07
Brunei Darussalam,0.34
Bulgaria,0.31
Burkina Faso,4.29
Burundi,2.59
Cabo Verde,0.71
Cambodia,0.56
Cameroon,1.9
Canada,1.03
Central African Republic,6.62
Chad,3.08
Chile,0.28
China,0.83
Colombia,0.21
Comoros,1.96
Congo,4.11
Cook Islands,0.22
Costa Rica,0.17
Croatia,0.11
Cuba,0.12
Cyprus,0.6
Czechia,0.39
Côte d’Ivoire,3.04
Democratic People's Republic of Korea,0.53
Democratic Republic of the Congo,1.43
Denmark,0.79
Djibouti,0.64
Dominica,0.39
Dominican Republic,0.34
Ecuador,0.32
Egypt,0.8
El Salvador,0.57
Equatorial Guinea,8.66
Eritrea,0.74
Estonia,0.36
Eswatini,0.85
Ethiopia,2.61
Fiji,0.34
Finland,1.05
France,0.01
Gabon,4.16
Gambia,1.17
Georgia,0.26
Germany,0.24
Ghana,3.61
Greece,0.37
Grenada,0.47
Guatemala,0.05
Guinea,7.47
Guinea-Bissau,2.12
Guyana,0.95
Haiti,2.04
Honduras,0.25
Hungary,0.44
Iceland,0.88
India,0.51
Indonesia,1.07
Iran (Islamic Republic of),0.02
Iraq,0.06
Ireland,0.01
Israel,0.48
Italy,0.61
Jamaica,0.16
Japan,1.95
Jordan,1.01
Kazakhstan,0.21
Kenya,0.86
Kiribati,3.65
Kuwait,0.11
Kyrgyzstan,0.5
Lao People's Democratic Republic,1.94
Latvia,0.51
Lebanon,0.21
Lesotho,1.64
Liberia,7.75
Libya,0.27
Lithuania,0.19
Luxembourg,0.24
Madagascar,4.36
Malawi,3.03
Malaysia,0.17
Maldives,0.19
Mali,4.88
Malta,0.39
Marshall Islands,1.56
Mauritania,4.29
Mauritius,0.61
Mexico,0.04
Micronesia (Federated States of),0.89
Monaco,0.2
Mongolia,1.72
Montenegro,0.65
Morocco,0.45
Mozambique,3.67
Myanmar,2.03
Namibia,0.66
Nauru,2.11
Nepal,0.31
Netherlands,0.04
New Zealand,1.2
Nicaragua,0.14
Niger,6.01
Nigeria,2.61
Niue,0.24
Norway,0.01
Oman,0.44
Pakistan,2.75
Palau,0.21
Panama,0.22
Papua New Guinea,2.24
Paraguay,0.65
Peru,0.24
Philippines,1.07
Poland,0.04
Portugal,0.1
Qatar,0.2
Republic of Korea,0.69
Republic of Moldova,0.65
Romania,0.65
Russian Federation,0.88
Rwanda,1.74
Saint Kitts and Nevis,0.38
Saint Lucia,0.39
Saint Vincent and the Grenadines,0.42
Samoa,1.05
San Marino,0.32
Sao Tome and Principe,1.36
Saudi Arabia,0.3
Senegal,3.48
Serbia,0.11
Seychelles,0.15
Sierra Leone,8.18
Singapore,0.47
Slovakia,0.56
Slovenia,1.04
Solomon Islands,2.93
Somalia,10.54
South Africa,1.74
South Sudan,21.13
Spain,0.19
Sri Lanka,0.64
Sudan,2.86
Suriname,0.36
Sweden,0.32
Switzerland,0.17
Syrian Arab Republic,0.37
Tajikistan,0.71
Thailand,0.17
The former Yugoslav Republic of Macedonia,0.2
Timor-Leste,0.87
Togo,3.36
Tonga,2.35
Trinidad and Tobago,0.43
Tunisia,0.76
Turkey,0.32
Turkmenistan,0.23
Tuvalu,0.7
Uganda,3.16
Ukraine,0.46
United Arab Emirates,0.08
United Kingdom of Great Britain and Northern Ireland,0.22
United Republic of Tanzania,1.69
United States of America,0.04
Uruguay,0.35
Uzbekistan,0.6
Vanuatu,8.48
Venezuela (Bolivarian Republic of),0.62
Viet Nam,1.2
Yemen,2.54
Zambia,1.84
Zimbabwe,4.38
