Location,Malaria
Afghanistan,14.91
Algeria,0.0
Angola,200.0
Argentina,0.0
Armenia,0.0
Azerbaijan,0.0
Bangladesh,2.72
Belize,0.036
Benin,411.8
Bhutan,0.063
Bolivia (Plurinational State of),1.89
Botswana,0.37
Brazil,3.88
Burkina Faso,400.1
Burundi,165.5
Cabo Verde,0.051
Cambodia,19.94
Cameroon,254.5
Central African Republic,379.9
Chad,167.3
China,0.0001
Colombia,6.94
Comoros,1.67
Congo,226.7
Costa Rica,0.0
Côte d’Ivoire,320.0
Democratic People's Republic of Korea,0.75
Democratic Republic of the Congo,308.8
Djibouti,13.82
Dominican Republic,0.14
Ecuador,1.31
Egypt,0.0
El Salvador,0.002
Equatorial Guinea,339.5
Eritrea,19.2
Eswatini,0.51
Ethiopia,52.77
Gabon,284.4
Gambia,195.0
Georgia,0.0
Ghana,277.2
Guatemala,0.65
Guinea,356.6
Guinea-Bissau,79.77
Guyana,23.49
Haiti,3.44
Honduras,0.59
India,9.67
Indonesia,5.38
Iran (Islamic Republic of),0.21
Iraq,0.0
Kazakhstan,0.0
Kenya,72.17
Kyrgyzstan,0.0
Lao People's Democratic Republic,22.3
Liberia,347.0
Madagascar,97.32
Malawi,217.0
Malaysia,0.2
Mali,391.8
Mauritania,61.61
Mexico,0.2
Morocco,0.0
Mozambique,355.9
Myanmar,8.69
Namibia,10.88
Nepal,0.57
Nicaragua,1.06
Niger,369.8
Nigeria,296.1
Oman,0.0
Pakistan,5.06
Panama,0.15
Papua New Guinea,131.5
Paraguay,0.0
Peru,7.85
Philippines,0.47
Republic of Korea,0.18
Rwanda,342.0
Sao Tome and Principe,10.32
Saudi Arabia,0.033
Senegal,69.8
Sierra Leone,403.7
Solomon Islands,66.85
Somalia,37.27
South Africa,0.21
South Sudan,240.4
Sri Lanka,0.0
Sudan,35.88
Suriname,0.98
Syrian Arab Republic,0.0
Tajikistan,0.0
Thailand,1.34
Timor-Leste,0.12
Togo,364.3
Turkey,0.0
Turkmenistan,0.0
Uganda,236.1
United Arab Emirates,0.0
United Republic of Tanzania,121.7
Uzbekistan,0.0
Vanuatu,2.9
Venezuela (Bolivarian Republic of),10.57
Viet Nam,0.17
Yemen,24.9
Zambia,202.5
Zimbabwe,97.65
