Location,TB
Afghanistan,189.0
Albania,17.0
Algeria,75.0
Andorra,5.9
Angola,366.0
Antigua and Barbuda,4.3
Argentina,26.0
Armenia,50.0
Australia,6.0
Austria,7.5
Azerbaijan,71.0
Bahamas,19.0
Bahrain,15.0
Bangladesh,221.0
Barbados,0.0
Belarus,50.0
Belgium,9.5
Belize,25.0
Benin,60.0
Bhutan,165.0
Bolivia (Plurinational State of),117.0
Bosnia and Herzegovina,40.0
Botswana,356.0
Brazil,43.0
Brunei Darussalam,59.0
Bulgaria,28.0
Burkina Faso,52.0
Burundi,122.0
Cabo Verde,64.0
Cambodia,366.0
Cameroon,212.0
Canada,5.2
Central African Republic,540.0
Chad,144.0
Chile,16.0
China,65.0
Colombia,31.0
Comoros,35.0
Congo,379.0
Cook Islands,0.0
Costa Rica,11.0
Croatia,13.0
Cuba,7.1
Cyprus,6.2
Czechia,5.5
Côte d’Ivoire,159.0
Democratic People's Republic of Korea,513.0
Democratic Republic of the Congo,324.0
Denmark,6.5
Djibouti,367.0
Dominica,11.0
Dominican Republic,55.0
Ecuador,39.0
Egypt,15.0
El Salvador,48.0
Equatorial Guinea,172.0
Eritrea,102.0
Estonia,18.0
Eswatini,648.0
Ethiopia,192.0
Fiji,52.0
Finland,5.6
France,8.4
Gabon,537.0
Gambia,173.0
Georgia,99.0
Germany,7.3
Ghana,160.0
Greece,4.7
Grenada,5.2
Guatemala,26.0
Guinea,177.0
Guinea-Bissau,361.0
Guyana,93.0
Haiti,194.0
Honduras,40.0
Hungary,10.0
Iceland,2.4
India,217.0
Indonesia,325.0
Iran (Islamic Republic of),16.0
Iraq,43.0
Ireland,7.3
Israel,4.0
Italy,6.6
Jamaica,4.5
Japan,16.0
Jordan,5.7
Kazakhstan,81.0
Kenya,380.0
Kiribati,559.0
Kuwait,22.0
Kyrgyzstan,136.0
Lao People's Democratic Republic,182.0
Latvia,40.0
Lebanon,12.0
Lesotho,780.0
Liberia,308.0
Libya,40.0
Lithuania,55.0
Luxembourg,6.1
Madagascar,233.0
Malawi,197.0
Malaysia,90.0
Maldives,42.0
Mali,57.0
Malta,8.5
Marshall Islands,300.0
Mauritania,107.0
Mauritius,13.0
Mexico,22.0
Micronesia (Federated States of),119.0
Monaco,0.0
Mongolia,428.0
Montenegro,15.0
Morocco,102.0
Mozambique,361.0
Myanmar,391.0
Namibia,639.0
Nauru,111.0
Nepal,268.0
Netherlands,5.8
New Zealand,7.3
Nicaragua,50.0
Niger,95.0
Nigeria,219.0
Niue,0.0
Norway,6.3
Oman,8.8
Pakistan,270.0
Palau,91.0
Panama,52.0
Papua New Guinea,432.0
Paraguay,40.0
Peru,122.0
Philippines,550.0
Poland,19.0
Portugal,23.0
Qatar,24.0
Republic of Korea,79.0
Republic of Moldova,102.0
Romania,82.0
Russian Federation,67.0
Rwanda,61.0
Saint Kitts and Nevis,4.1
Saint Lucia,9.0
Saint Vincent and the Grenadines,7.4
Samoa,11.0
San Marino,0.0
Sao Tome and Principe,156.0
Saudi Arabia,12.0
Senegal,123.0
Serbia,21.0
Seychelles,9.7
Sierra Leone,307.0
Singapore,45.0
Slovakia,6.5
Slovenia,7.2
Solomon Islands,86.0
Somalia,274.0
South Africa,988.0
South Sudan,227.0
Spain,9.9
Sri Lanka,65.0
Sudan,88.0
Suriname,32.0
Sweden,9.2
Switzerland,7.4
Syrian Arab Republic,20.0
Tajikistan,86.0
Thailand,163.0
The former Yugoslav Republic of Macedonia,17.0
Timor-Leste,498.0
Togo,52.0
Tonga,16.0
Trinidad and Tobago,16.0
Tunisia,38.0
Turkey,18.0
Turkmenistan,49.0
Tuvalu,207.0
Uganda,202.0
Ukraine,91.0
United Arab Emirates,0.78
United Kingdom of Great Britain and Northern Ireland,10.0
United Republic of Tanzania,306.0
United States of America,3.2
Uruguay,30.0
Uzbekistan,79.0
Vanuatu,63.0
Venezuela (Bolivarian Republic of),30.0
Viet Nam,199.0
Yemen,48.0
Zambia,391.0
Zimbabwe,242.0
