Location,MR_infant_1y
Afghanistan,53.17
Albania,8.51
Algeria,21.61
Andorra,3.34
Angola,57.82
Antigua and Barbuda,6.77
Argentina,10.22
Armenia,12.85
Australia,3.26
Austria,3.05
Azerbaijan,23.36
Bahamas,12.0
Bahrain,6.48
Bangladesh,30.65
Barbados,13.01
Belarus,3.04
Belgium,3.17
Belize,13.19
Benin,64.26
Bhutan,27.35
Bolivia (Plurinational State of),25.09
Bosnia and Herzegovina,5.42
Botswana,32.11
Brazil,14.05
Brunei Darussalam,8.78
Bulgaria,6.81
Burkina Faso,59.55
Burundi,45.94
Cabo Verde,16.71
Cambodia,27.17
Cameroon,57.35
Canada,4.61
Central African Republic,89.73
Chad,76.06
Chile,6.75
China,9.19
Colombia,13.44
Comoros,54.08
Congo,38.53
Cook Islands,7.47
Costa Rica,7.65
Croatia,4.2
Cuba,4.2
Cyprus,2.22
Czechia,2.52
Democratic People's Republic of Korea,16.0
Democratic Republic of the Congo,73.81
Denmark,3.49
Djibouti,54.25
Dominica,27.27
Dominican Republic,26.0
Ecuador,12.99
Egypt,19.86
El Salvador,13.16
Equatorial Guinea,68.14
Eritrea,33.99
Estonia,2.46
Eswatini,45.85
Ethiopia,43.14
Fiji,20.58
Finland,2.03
France,3.47
Gabon,35.78
Gambia,39.8
Georgia,9.36
Germany,3.3
Ghana,38.75
Greece,3.88
Grenada,14.25
Guatemala,23.68
Guinea,68.72
Guinea-Bissau,59.23
Guyana,27.37
Haiti,53.21
Honduras,16.49
Hungary,4.27
Iceland,1.76
India,34.94
Indonesia,23.29
Iran (Islamic Republic of),13.81
Iraq,24.65
Ireland,3.18
Israel,3.16
Italy,2.95
Jamaica,13.43
Japan,2.01
Jordan,15.12
Kazakhstan,10.54
Kenya,35.32
Kiribati,44.58
Kuwait,7.46
Kyrgyzstan,19.89
Lao People's Democratic Republic,41.99
Latvia,4.22
Lebanon,7.08
Lesotho,71.88
Liberia,66.12
Libya,11.41
Lithuania,4.02
Luxembourg,2.37
Madagascar,40.66
Malawi,37.31
Malaysia,6.89
Maldives,8.7
Mali,66.95
Malta,6.11
Marshall Islands,29.29
Mauritania,55.03
Mauritius,12.75
Mexico,13.93
Micronesia (Federated States of),27.79
Monaco,2.87
Mongolia,17.28
Montenegro,3.13
Morocco,21.69
Mozambique,61.55
Myanmar,40.72
Namibia,33.34
Nauru,28.7
Nepal,29.68
Netherlands,3.44
New Zealand,4.53
Nicaragua,16.62
Niger,51.87
Nigeria,79.52
Niue,22.22
Norway,2.21
Oman,9.64
Pakistan,62.12
Palau,17.86
Panama,14.55
Papua New Guinea,39.85
Paraguay,18.92
Peru,12.17
Philippines,23.48
Poland,4.17
Portugal,2.96
Qatar,6.7
Republic of Korea,3.0
Republic of Moldova,13.43
Romania,7.64
Russian Federation,7.05
Rwanda,30.88
Saint Kitts and Nevis,14.13
Saint Lucia,18.6
Saint Vincent and the Grenadines,15.22
Samoa,14.5
San Marino,1.77
Sao Tome and Principe,26.75
Saudi Arabia,7.22
Senegal,36.4
Serbia,5.47
Seychelles,12.7
Sierra Leone,94.17
Singapore,2.18
Slovakia,5.09
Slovenia,2.01
Solomon Islands,18.99
Somalia,82.77
South Africa,28.5
South Sudan,62.37
Spain,2.74
Sri Lanka,7.48
Sudan,45.21
Suriname,18.05
Sweden,2.33
Switzerland,3.78
Syrian Arab Republic,17.76
Tajikistan,32.86
Thailand,9.27
The former Yugoslav Republic of Macedonia,11.38
Timor-Leste,43.24
