Location,LifeExp
Afghanistan,61.65
Albania,77.84
Algeria,76.54
Angola,61.72
Antigua and Barbuda,76.14
Argentina,76.17
Armenia,74.51
Australia,82.28
Austria,80.98
Azerbaijan,70.67
Bahamas,72.92
Bahrain,76.46
Bangladesh,73.58
Barbados,76.22
Belarus,73.82
Belgium,80.71
Belize,74.05
Benin,61.96
Bhutan,72.15
Bolivia (Plurinational State of),71.52
Bosnia and Herzegovina,76.32
Botswana,60.93
Brazil,75.13
Brunei Darussalam,74.4
Bulgaria,74.55
Burkina Faso,60.92
Burundi,62.05
Cabo Verde,74.88
Cambodia,69.17
Cameroon,59.11
Canada,81.76
Central African Republic,50.53
Chad,57.91
Chile,79.82
China,76.64
Colombia,78.35
Comoros,66.45
Congo,63.11
Costa Rica,80.78
Croatia,77.58
Cuba,77.91
Cyprus,82.01
Czechia,78.46
Côte d’Ivoire,60.2
Democratic People's Republic of Korea,71.76
Democratic Republic of the Congo,60.44
Denmark,80.59
Djibouti,64.64
Dominican Republic,71.75
Ecuador,77.18
Egypt,70.49
El Salvador,73.25
Equatorial Guinea,61.13
Eritrea,62.29
Estonia,77.6
Eswatini,54.05
Ethiopia,66.82
Fiji,67.83
Finland,81.21
France,81.91
Gabon,64.93
Gambia,64.14
Georgia,72.58
Germany,80.42
Ghana,64.55
Greece,80.38
Grenada,72.7
Guatemala,70.95
Guinea,58.81
Guinea-Bissau,58.23
Guyana,65.59
Haiti,62.61
Honduras,69.82
Hungary,75.57
Iceland,82.14
India,69.31
Indonesia,70.61
Iran (Islamic Republic of),76.66
Iraq,70.29
Ireland,81.14
Israel,81.93
Italy,82.21
Jamaica,75.85
Japan,83.62
Jordan,77.82
Kazakhstan,71.91
Kenya,64.17
Kiribati,58.2
Kuwait,81.13
Kyrgyzstan,71.59
Lao People's Democratic Republic,67.08
Latvia,74.8
Lebanon,75.98
Lesotho,47.67
Liberia,61.17
Libya,74.6
Lithuania,74.38
Luxembourg,82.31
Madagascar,64.19
Malawi,63.04
Malaysia,74.95
Maldives,78.41
Mali,60.89
Malta,81.65
Mauritania,67.41
Mauritius,74.14
Mexico,75.87
Micronesia (Federated States of),62.74
Mongolia,67.61
Montenegro,75.27
Morocco,72.46
Mozambique,55.95
Myanmar,67.58
Namibia,62.87
Nepal,69.43
Netherlands,81.28
New Zealand,81.31
Nicaragua,74.62
Niger,61.54
Nigeria,61.16
Norway,82.01
Oman,72.52
Pakistan,64.18
Panama,78.72
Papua New Guinea,64.49
Paraguay,75.56
Peru,79.08
Philippines,70.3
Poland,77.29
Portugal,80.89
Qatar,76.41
Republic of Korea,82.2
Republic of Moldova,71.13
Romania,74.82
Russian Federation,71.3
Rwanda,67.69
Saint Lucia,75.01
Saint Vincent and the Grenadines,72.47
Samoa,70.04
Sao Tome and Principe,69.6
Saudi Arabia,73.15
Senegal,67.2
Serbia,75.21
Seychelles,73.2
Sierra Leone,56.94
Singapore,82.81
Slovakia,77.01
Slovenia,80.47
Solomon Islands,64.74
Somalia,54.57
South Africa,62.57
South Sudan,61.99
Spain,82.33
Sri Lanka,76.27
Sudan,67.94
Suriname,72.6
Sweden,81.75
Switzerland,82.61
Syrian Arab Republic,64.4
Tajikistan,68.66
Thailand,77.41
The former Yugoslav Republic of Macedonia,73.73
Timor-Leste,68.87
Togo,61.92
Tonga,72.33
Trinidad and Tobago,74.61
Tunisia,76.7
Turkey,77.79
Turkmenistan,69.11
Uganda,64.47
Ukraine,72.2
United Arab Emirates,75.31
United Kingdom of Great Britain and Northern Ireland,80.65
United Republic of Tanzania,65.36
United States of America,78.56
Uruguay,77.03
Uzbekistan,71.45
Vanuatu,64.64
Venezuela (Bolivarian Republic of),74.66
Viet Nam,73.16
Yemen,67.47
Zambia,60.5
Zimbabwe,58.48
