Location,doctors
Afghanistan,2.85
Andorra,33.33
Armenia,29.14
Australia,34.89
Austria,51.04
Bahrain,9.26
Bangladesh,4.86
Belarus,51.91
Belgium,30.14
Bhutan,3.45
Bosnia and Herzegovina,21.62
Brunei Darussalam,17.81
Bulgaria,40.33
Burkina Faso,0.66
Burundi,0.5
Cabo Verde,7.81
Central African Republic,0.72
Chad,0.49
Chile,21.47
China,17.73
Colombia,19.74
Costa Rica,13.79
Croatia,31.73
Cuba,77.69
Cyprus,26.24
Czechia,39.52
Denmark,39.26
Ecuador,20.65
Egypt,8.22
Estonia,34.15
Fiji,8.6
Finland,33.31
France,32.24
Gambia,1.02
Georgia,50.06
Germany,41.34
Greece,52.53
Guinea,0.86
Guinea-Bissau,2.04
Haiti,0.85
Hungary,31.18
Iceland,37.83
Indonesia,2.74
Iran (Islamic Republic of),11.53
Ireland,31.5
Israel,34.62
Italy,38.48
Jamaica,4.15
Jordan,28.08
Kuwait,26.46
Latvia,31.66
Lebanon,21.03
Liberia,0.38
Libya,18.94
Lithuania,42.99
Luxembourg,29.22
Malaysia,15.36
Maldives,28.86
Malta,28.6
Mauritania,1.71
Mauritius,20.25
Mexico,23.25
Mongolia,32.19
Montenegro,23.76
Mozambique,0.41
Nauru,13.46
Netherlands,34.92
New Zealand,32.96
Nicaragua,9.31
Niger,0.47
Norway,26.47
Oman,20.89
Pakistan,9.26
Poland,23.25
Portugal,47.49
Republic of Korea,22.49
Republic of Moldova,24.84
Russian Federation,37.49
Rwanda,1.13
Saint Kitts and Nevis,26.76
Sao Tome and Principe,3.16
Senegal,2.07
Serbia,24.6
Slovakia,34.44
Slovenia,28.15
South Africa,7.81
Spain,32.17
Sri Lanka,8.62
Sudan,4.07
Suriname,10.46
Sweden,42.86
Switzerland,41.9
Thailand,4.65
The former Yugoslav Republic of Macedonia,28.74
Timor-Leste,6.95
Togo,0.49
Trinidad and Tobago,26.5
Tunisia,13.11
Turkey,17.99
Uganda,0.95
United Arab Emirates,22.11
United Kingdom of Great Britain and Northern Ireland,27.47
United States of America,25.78
Viet Nam,7.96
Zimbabwe,1.82
