Location,MR_Poison
Afghanistan,1.22
Albania,0.43
Algeria,0.8
Angola,2.95
Antigua and Barbuda,0.38
Argentina,0.65
Armenia,0.67
Australia,0.2
Austria,0.24
Azerbaijan,0.58
Bahamas,0.14
Bahrain,0.21
Bangladesh,0.31
Barbados,0.21
Belarus,2.67
Belgium,0.24
Belize,0.51
Benin,3.58
Bhutan,0.61
Bolivia (Plurinational State of),2.11
Bosnia and Herzegovina,0.53
Botswana,1.18
Brazil,0.2
Brunei Darussalam,0.34
Bulgaria,0.62
Burkina Faso,3.03
Burundi,5.3
Cabo Verde,0.51
Cambodia,0.65
Cameroon,3.25
Canada,0.31
Central African Republic,3.46
Chad,3.67
Chile,0.21
China,1.38
Colombia,0.36
Comoros,2.43
Congo,1.3
Costa Rica,0.29
Croatia,0.19
Cuba,0.32
Cyprus,0.1
Czechia,0.3
Côte d’Ivoire,4.01
Democratic People's Republic of Korea,1.94
Democratic Republic of the Congo,3.26
Denmark,0.16
Djibouti,2.34
Dominican Republic,0.38
Ecuador,0.65
Egypt,0.22
El Salvador,0.23
Equatorial Guinea,2.01
Eritrea,4.39
Estonia,0.49
Eswatini,3.35
Ethiopia,2.97
Fiji,0.45
Finland,0.23
France,0.47
Gabon,0.97
Gambia,1.96
Georgia,0.81
Germany,0.14
Ghana,1.65
Greece,0.24
Grenada,0.34
Guatemala,1.17
Guinea,3.08
Guinea-Bissau,2.2
Guyana,0.72
Haiti,2.69
Honduras,0.39
Hungary,0.29
Iceland,0.21
India,2.45
Indonesia,0.41
Iran (Islamic Republic of),1.2
Iraq,0.52
Ireland,0.21
Israel,0.16
Italy,0.27
Jamaica,0.21
Japan,0.41
Jordan,0.63
Kazakhstan,2.56
Kenya,1.82
Kiribati,2.59
Kuwait,0.19
Kyrgyzstan,0.69
Lao People's Democratic Republic,0.92
Latvia,0.85
Lebanon,0.3
Lesotho,3.16
Liberia,1.81
Libya,0.51
Lithuania,0.77
Luxembourg,0.1
Madagascar,3.33
Malawi,2.08
Malaysia,0.49
Maldives,0.046
Mali,3.34
Malta,0.12
Mauritania,1.93
Mauritius,0.11
Mexico,0.45
Micronesia (Federated States of),1.01
Mongolia,1.61
Montenegro,0.52
Morocco,0.58
Mozambique,3.03
Myanmar,1.42
Namibia,1.64
Nepal,0.48
Netherlands,0.1
New Zealand,0.19
Nicaragua,0.57
Niger,4.21
Nigeria,2.98
Norway,0.18
Oman,0.47
Pakistan,2.35
Panama,0.39
Papua New Guinea,1.78
Paraguay,0.36
Peru,0.92
Philippines,0.25
Poland,0.26
Portugal,0.26
Qatar,0.43
Republic of Korea,0.53
Republic of Moldova,1.22
Romania,0.4
Russian Federation,1.78
Rwanda,2.51
Saint Lucia,0.18
Saint Vincent and the Grenadines,0.17
Samoa,0.5
Sao Tome and Principe,0.89
Saudi Arabia,0.66
Senegal,2.38
Serbia,0.35
Seychelles,0.59
Sierra Leone,4.15
Singapore,0.083
Slovakia,0.37
Slovenia,0.32
Solomon Islands,0.96
Somalia,4.75
South Africa,1.29
South Sudan,4.03
Spain,0.22
Sri Lanka,0.42
Sudan,4.08
Suriname,0.38
Sweden,0.41
Switzerland,0.099
Syrian Arab Republic,0.37
Tajikistan,1.21
Thailand,0.41
The former Yugoslav Republic of Macedonia,0.36
Timor-Leste,0.44
Togo,2.46
Tonga,1.37
Trinidad and Tobago,0.25
Tunisia,0.48
Turkey,0.32
Turkmenistan,0.8
Uganda,3.3
Ukraine,2.65
United Arab Emirates,0.26
United Kingdom of Great Britain and Northern Ireland,0.26
United Republic of Tanzania,2.79
United States of America,0.9
Uruguay,0.4
Uzbekistan,1.09
Vanuatu,0.86
Venezuela (Bolivarian Republic of),0.3
Viet Nam,0.93
Yemen,3.74
Zambia,3.06
Zimbabwe,2.37
