Location,MR_infant_28d
Afghanistan,40.27
Albania,6.03
Algeria,15.05
Andorra,1.71
Angola,30.63
Antigua and Barbuda,4.28
Argentina,6.64
Armenia,7.82
Australia,2.35
Austria,2.25
Azerbaijan,14.24
Bahamas,7.42
Bahrain,3.21
Bangladesh,22.51
Barbados,9.34
Belarus,1.64
Belgium,2.22
Belize,10.01
Benin,32.35
Bhutan,18.66
Bolivia (Plurinational State of),17.06
Bosnia and Herzegovina,4.56
Botswana,17.02
Brazil,9.39
Brunei Darussalam,5.18
Bulgaria,4.04
Burkina Faso,27.99
Burundi,23.3
Cabo Verde,11.75
Cambodia,16.87
Cameroon,28.62
Canada,3.52
Central African Republic,42.9
Chad,35.58
Chile,5.1
China,5.38
Colombia,8.51
Comoros,32.64
Congo,20.87
Cook Islands,4.75
Costa Rica,6.21
Croatia,3.12
Cuba,2.35
Cyprus,1.58
Czechia,1.59
Democratic People's Republic of Korea,11.58
Democratic Republic of the Congo,29.63
Denmark,3.27
Djibouti,33.45
Dominica,24.61
Dominican Republic,21.41
Ecuador,7.89
Egypt,12.85
El Salvador,7.6
Equatorial Guinea,31.59
Eritrea,19.4
Estonia,1.42
Eswatini,19.64
Ethiopia,31.76
Fiji,9.93
Finland,1.4
France,2.41
Gabon,22.21
Gambia,29.89
Georgia,6.69
Germany,2.3
Ghana,25.84
Greece,2.66
Grenada,10.66
Guatemala,14.02
Guinea,31.9
Guinea-Bissau,38.45
Guyana,20.5
Haiti,27.13
Honduras,10.52
Hungary,2.73
Iceland,1.13
India,25.87
Indonesia,14.53
Iran (Islamic Republic of),9.96
Iraq,17.44
Ireland,2.4
Israel,2.09
Italy,2.13
Jamaica,11.22
Japan,0.92
Jordan,10.36
Kazakhstan,5.55
Kenya,22.71
Kiribati,23.83
Kuwait,4.91
Kyrgyzstan,14.69
Lao People's Democratic Republic,24.44
Latvia,2.59
Lebanon,4.81
Lesotho,43.39
Liberia,33.03
Libya,7.49
Lithuania,2.33
Luxembourg,1.53
Madagascar,21.81
Malawi,22.82
Malaysia,4.2
Maldives,5.87
Mali,34.76
Malta,4.7
Marshall Islands,16.61
Mauritania,34.83
Mauritius,9.06
Mexico,8.3
Micronesia (Federated States of),17.3
Monaco,1.95
Mongolia,9.6
Montenegro,2.1
Morocco,16.13
Mozambique,30.89
Myanmar,24.76
Namibia,20.25
Nauru,22.02
Nepal,22.43
Netherlands,2.63
New Zealand,3.13
Nicaragua,11.94
Niger,26.53
Nigeria,37.14
Niue,14.18
Norway,1.59
Oman,5.18
Pakistan,45.22
Palau,10.65
Panama,9.8
Papua New Guinea,23.71
Paraguay,12.41
Peru,7.57
Philippines,14.42
Poland,2.9
Portugal,2.1
Qatar,3.97
Republic of Korea,1.63
Republic of Moldova,11.61
Romania,4.29
Russian Federation,3.87
Rwanda,17.86
Saint Kitts and Nevis,11.3
Saint Lucia,12.61
Saint Vincent and the Grenadines,10.58
Samoa,9.28
San Marino,0.93
Sao Tome and Principe,15.69
Saudi Arabia,4.69
Senegal,23.96
Serbia,3.95
Seychelles,8.98
Sierra Leone,34.28
Singapore,1.0
Slovakia,3.06
Slovenia,1.37
Solomon Islands,9.35
Somalia,39.56
South Africa,11.04
South Sudan,38.91
Spain,1.93
Sri Lanka,5.25
Sudan,29.4
Suriname,12.72
Sweden,1.59
Switzerland,2.99
Syrian Arab Republic,10.48
Tajikistan,16.21
Thailand,6.34
The former Yugoslav Republic of Macedonia,9.59
Timor-Leste,21.43
Togo,26.66
Tonga,7.5
Trinidad and Tobago,13.08
Tunisia,12.06
Turkey,6.34
Turkmenistan,23.06
Tuvalu,18.33
Uganda,22.31
Ukraine,5.67
United Arab Emirates,4.2
United Kingdom of Great Britain and Northern Ireland,2.73
United Republic of Tanzania,22.1
United States of America,3.9
Uruguay,5.0
Uzbekistan,12.98
Vanuatu,12.67
Venezuela (Bolivarian Republic of),14.45
Viet Nam,11.37
Yemen,26.65
Zambia,24.53
Zimbabwe,27.89
