Location,HIV
Afghanistan,0.03
Albania,0.04
Algeria,0.05
Angola,0.95
Argentina,0.14
Armenia,0.06
Australia,0.04
Azerbaijan,0.07
Barbados,0.22
Belarus,0.24
Benin,0.39
Bolivia (Plurinational State of),0.1
Botswana,6.27
Brazil,0.25
Bulgaria,0.04
Burkina Faso,0.19
Burundi,0.29
Cabo Verde,0.21
Cambodia,0.08
Cameroon,1.04
Central African Republic,1.5
Chad,0.45
Chile,0.27
Colombia,0.26
Congo,1.56
Costa Rica,0.18
Croatia,0.02
Cuba,0.2
Côte d’Ivoire,0.86
Democratic Republic of the Congo,0.32
Djibouti,0.22
Dominican Republic,0.29
Ecuador,0.17
Egypt,0.03
El Salvador,0.18
Equatorial Guinea,4.16
Eritrea,0.14
Eswatini,11.31
Ethiopia,0.21
Fiji,0.11
France,0.1
Gabon,1.15
Gambia,1.1
Ghana,0.8
Guatemala,0.09
Guinea,0.57
Guinea-Bissau,1.51
Guyana,0.51
Haiti,0.69
Honduras,0.13
Iran (Islamic Republic of),0.06
Italy,0.06
Jamaica,0.62
Kazakhstan,0.17
Kenya,1.31
Kyrgyzstan,0.16
Lao People's Democratic Republic,0.14
Latvia,0.18
Lebanon,0.03
Lesotho,8.13
Liberia,0.64
Libya,0.1
Lithuania,0.09
Madagascar,0.19
Malawi,2.77
Malaysia,0.17
Mauritius,0.49
Mongolia,0.02
Montenegro,0.05
Morocco,0.03
Mozambique,5.78
Myanmar,0.26
Namibia,4.0
Nepal,0.04
Netherlands,0.04
New Zealand,0.03
Nicaragua,0.08
Niger,0.07
Nigeria,0.57
Oman,0.04
Pakistan,0.1
Papua New Guinea,0.39
Paraguay,0.18
Peru,0.13
Philippines,0.1
Republic of Moldova,0.28
Romania,0.04
Rwanda,0.58
Senegal,0.11
Serbia,0.02
Sierra Leone,0.81
Singapore,0.04
Somalia,0.03
South Africa,5.94
South Sudan,1.46
Spain,0.08
Sri Lanka,0.01
Sudan,0.09
Suriname,0.54
Switzerland,0.05
Tajikistan,0.16
Thailand,0.14
Timor-Leste,0.11
Togo,0.79
Trinidad and Tobago,0.11
Tunisia,0.05
Uganda,2.02
Ukraine,0.3
United Republic of Tanzania,1.91
United States of America,0.12
Uzbekistan,0.15
Venezuela (Bolivarian Republic of),0.2
Viet Nam,0.11
Yemen,0.04
Zambia,4.11
Zimbabwe,3.91
