Location,nursing_mid
Afghanistan,1.3
Andorra,40.13
Antigua and Barbuda,45.09
Armenia,49.54
Australia,122.0
Austria,70.14
Bahrain,24.94
Bangladesh,2.75
Belarus,110.0
Belgium,118.1
Belize,1744.0
Bhutan,14.7
Bolivia (Plurinational State of),11.91
Bosnia and Herzegovina,61.8
Brazil,91.08
Brunei Darussalam,66.43
Bulgaria,48.16
Burkina Faso,6.7
Burundi,6.66
Cabo Verde,9.49
Cambodia,5.89
Canada,98.19
Central African Republic,2.06
Chad,2.53
Chile,109.8
China,22.91
Colombia,11.65
Congo,7.93
Cook Islands,68.18
Costa Rica,26.58
Croatia,61.92
Cyprus,40.35
Czechia,83.71
Côte d’Ivoire,4.69
Democratic Republic of the Congo,9.48
Denmark,102.4
Dominica,66.99
Dominican Republic,14.55
Ecuador,25.12
Egypt,19.41
El Salvador,17.58
Eritrea,11.85
Estonia,63.52
Eswatini,36.01
Fiji,30.18
Finland,8.7
France,106.0
Gambia,15.45
Georgia,40.17
Germany,129.1
Ghana,20.02
Greece,35.01
Guatemala,0.54
Guinea,4.17
Guinea-Bissau,5.55
Guyana,6.97
Haiti,2.82
Honduras,6.7
Hungary,66.85
Iceland,163.1
India,14.51
Indonesia,12.99
Iran (Islamic Republic of),18.91
Iraq,16.5
Ireland,163.7
Israel,54.47
Italy,57.15
Jamaica,14.51
Jordan,2.08
Kazakhstan,72.94
Kenya,8.65
Kuwait,71.51
Lao People's Democratic Republic,10.5
Latvia,48.36
Lebanon,15.42
Liberia,1.01
Lithuania,79.03
Luxembourg,123.3
Malaysia,33.6
Maldives,65.73
Malta,83.7
Mauritania,10.22
Mauritius,33.83
Mexico,24.17
Mongolia,37.88
Montenegro,53.46
Mozambique,6.38
Namibia,18.86
Nauru,67.31
Netherlands,107.5
New Zealand,119.9
Nicaragua,13.67
Niger,2.04
Norway,178.6
Oman,45.3
Pakistan,4.75
Panama,27.62
Paraguay,6.67
Peru,20.66
Poland,57.8
Portugal,65.32
Republic of Korea,59.84
Republic of Moldova,50.04
Russian Federation,89.66
Rwanda,9.88
Saint Kitts and Nevis,42.19
Saint Vincent and the Grenadines,95.05
Sao Tome and Principe,22.17
Senegal,1.92
Serbia,76.17
Singapore,60.09
Slovakia,60.09
Slovenia,88.24
South Africa,12.69
Spain,52.61
Sri Lanka,19.61
Sudan,8.25
Suriname,20.87
Sweden,117.2
Switzerland,168.6
Thailand,23.68
The former Yugoslav Republic of Macedonia,37.92
Timor-Leste,14.82
Togo,3.02
Trinidad and Tobago,34.83
Tunisia,26.7
Turkey,26.22
Uganda,15.57
United Arab Emirates,49.83
United Kingdom of Great Britain and Northern Ireland,82.94
Viet Nam,14.23
Yemen,7.24
Zimbabwe,13.83
