Location,Tobacco
Albania,29.9
Algeria,19.3
Andorra,34.2
Argentina,24.6
Armenia,27.9
Australia,17.7
Austria,31.5
Azerbaijan,20.7
Bahamas,11.0
Bahrain,25.4
Bangladesh,40.7
Barbados,8.9
Belarus,28.0
Belgium,25.7
Benin,8.3
Bosnia and Herzegovina,39.6
Botswana,24.6
Brazil,18.5
Brunei Darussalam,15.7
Bulgaria,40.5
Burkina Faso,17.4
Burundi,13.6
Cambodia,24.8
Cameroon,9.4
Canada,20.0
Chad,12.2
Chile,45.9
China,25.3
Colombia,8.9
Comoros,21.8
Congo,15.0
Cook Islands,28.8
Costa Rica,10.8
Croatia,36.3
Cuba,29.4
Cyprus,37.5
Czechia,32.1
Côte d’Ivoire,13.8
Democratic People's Republic of Korea,19.2
Denmark,20.8
Dominican Republic,10.5
Egypt,21.3
El Salvador,13.6
Eritrea,7.9
Estonia,32.1
Eswatini,10.8
Ethiopia,4.9
Fiji,27.4
Finland,20.9
France,34.5
Gambia,15.3
Georgia,30.4
Germany,28.9
Ghana,4.0
Greece,40.6
Guyana,13.8
Haiti,8.8
Hungary,31.9
Iceland,15.7
India,29.6
Indonesia,38.2
Iran (Islamic Republic of),15.1
Iraq,22.9
Ireland,25.3
Israel,26.2
Italy,23.8
Jamaica,12.0
Japan,23.4
Kazakhstan,25.7
Kenya,12.7
Kiribati,54.2
Kuwait,22.6
Kyrgyzstan,28.4
Lao People's Democratic Republic,40.9
Latvia,37.3
Lebanon,42.6
Lesotho,28.0
Liberia,9.1
Lithuania,28.5
Luxembourg,22.9
Madagascar,30.7
Malawi,14.3
Malaysia,22.8
Mali,12.1
Malta,26.4
Mauritius,28.0
Mexico,15.2
Mongolia,29.0
Morocco,15.9
Mozambique,16.0
Myanmar,47.8
Namibia,18.6
Nauru,54.7
Nepal,35.7
Netherlands,24.7
New Zealand,16.6
Niger,8.4
Nigeria,5.1
Norway,21.2
Oman,9.6
Pakistan,22.3
Palau,25.1
Panama,7.9
Paraguay,14.6
Peru,11.7
Philippines,25.8
Poland,28.1
Portugal,27.3
Qatar,14.2
Republic of Korea,23.8
Republic of Moldova,25.0
Romania,27.5
Russian Federation,29.0
Rwanda,14.2
Samoa,30.5
Sao Tome and Principe,5.5
Saudi Arabia,16.6
Senegal,9.8
Serbia,41.3
Seychelles,21.7
Sierra Leone,21.8
Singapore,16.5
Slovakia,32.0
Slovenia,23.1
Solomon Islands,38.4
South Africa,32.2
Spain,29.3
Sri Lanka,23.5
Sweden,32.0
Switzerland,25.7
Thailand,24.1
Timor-Leste,40.8
Togo,8.1
Tonga,30.6
Tunisia,27.9
Turkey,30.1
Tuvalu,50.8
Uganda,11.4
Ukraine,27.3
United Arab Emirates,18.7
United Kingdom of Great Britain and Northern Ireland,21.3
United Republic of Tanzania,14.5
United States of America,26.0
Uruguay,24.0
Uzbekistan,12.8
Vanuatu,25.1
Yemen,22.2
Zambia,15.4
Zimbabwe,14.5
