Location,MR_infant_5y
Afghanistan,70.44
Albania,9.57
Algeria,25.18
Andorra,3.53
Angola,88.2
Antigua and Barbuda,7.75
Argentina,11.47
Armenia,14.38
Australia,3.86
Austria,3.71
Azerbaijan,26.33
Bahamas,13.96
Bahrain,7.57
Bangladesh,37.54
Barbados,14.03
Belarus,4.03
Belgium,3.94
Belize,15.33
Benin,99.59
Bhutan,33.08
Bolivia (Plurinational State of),30.98
Bosnia and Herzegovina,6.26
Botswana,41.17
Brazil,15.72
Brunei Darussalam,10.6
Bulgaria,8.13
Burkina Faso,100.7
Burundi,67.23
Cabo Verde,19.54
Cambodia,31.62
Cameroon,88.46
Canada,5.28
Central African Republic,126.7
Chad,129.4
Chile,7.89
China,10.71
Colombia,15.62
Comoros,71.88
Congo,54.16
Cook Islands,8.73
Costa Rica,9.04
Croatia,4.93
Cuba,5.58
Cyprus,2.75
Czechia,3.15
Democratic People's Republic of Korea,21.1
Democratic Republic of the Congo,97.23
Denmark,4.09
Djibouti,65.32
Dominica,30.88
Dominican Republic,31.29
Ecuador,15.1
Egypt,23.4
El Salvador,15.3
Equatorial Guinea,93.99
Eritrea,46.31
Estonia,3.15
Eswatini,59.23
Ethiopia,62.23
Fiji,24.31
Finland,2.49
France,4.12
Gabon,49.83
Gambia,60.04
Georgia,10.52
Germany,3.93
Ghana,54.56
Greece,4.4
Grenada,16.21
Guatemala,28.28
Guinea,107.9
Guinea-Bissau,90.68
Guyana,33.1
Haiti,70.51
Honduras,19.27
Hungary,5.12
Iceland,2.23
India,43.52
Indonesia,27.77
Iran (Islamic Republic of),16.06
Iraq,29.52
Ireland,3.71
Israel,3.92
Italy,3.46
Jamaica,15.62
Japan,2.75
Jordan,17.61
Kazakhstan,11.82
Kenya,49.59
Kiribati,57.4
Kuwait,8.71
Kyrgyzstan,22.33
Lao People's Democratic Republic,53.61
Latvia,4.97
Lebanon,8.28
Lesotho,94.06
Liberia,90.96
Libya,13.32
Lithuania,4.94
Luxembourg,2.9
Madagascar,57.87
Malawi,53.76
Malaysia,8.05
Maldives,10.15
Mali,108.6
Malta,7.01
Marshall Islands,35.68
Mauritania,82.71
Mauritius,14.49
Mexico,16.2
Micronesia (Federated States of),33.66
Monaco,3.52
Mongolia,20.23
Montenegro,3.56
Morocco,25.27
Mozambique,85.43
Myanmar,51.77
Namibia,47.84
Nauru,34.87
Nepal,36.22
Netherlands,4.05
New Zealand,5.45
Nicaragua,19.43
Niger,94.02
Nigeria,126.8
Niue,26.39
Norway,2.72
Oman,11.21
Pakistan,76.05
Palau,19.72
Panama,16.93
Papua New Guinea,50.51
Paraguay,22.21
Peru,15.67
Philippines,29.83
Poland,4.85
Portugal,3.62
Qatar,7.83
Republic of Korea,3.51
Republic of Moldova,15.61
Romania,9.13
Russian Federation,8.23
Rwanda,41.49
Saint Kitts and Nevis,16.9
Saint Lucia,20.95
Saint Vincent and the Grenadines,16.76
Samoa,16.87
San Marino,1.99
Sao Tome and Principe,34.69
Saudi Arabia,8.43
Senegal,52.78
Serbia,6.28
Seychelles,14.76
Sierra Leone,138.3
Singapore,2.72
Slovakia,6.22
Slovenia,2.5
Solomon Islands,22.3
Somalia,132.7
South Africa,37.07
South Sudan,96.23
Spain,3.3
Sri Lanka,8.74
Sudan,65.91
Suriname,20.22
Sweden,2.87
Switzerland,4.31
Syrian Arab Republic,23.18
Tajikistan,37.75
Thailand,10.8
The former Yugoslav Republic of Macedonia,12.97
Timor-Leste,50.76
