variable	n	pearson_r	spearman_rho	delta
MR_infant_1y	162	-0.8960	-0.9185	-0.0225
MR_infant_5y	162	-0.8750	-0.9195	-0.0445
MR_infant_28d	182	-0.8717	-0.8852	-0.0135
UHC_Cov	183	0.8652	0.8828	0.0176
sanitation	183	0.8222	0.8274	0.0052
drinking_water	183	0.8145	0.8343	0.0197
clean_fuel_tech	179	0.7939	0.7966	0.0027
MR_Poison	183	-0.7878	-0.8119	-0.0241
handwash	89	0.7822	0.7892	0.0071
safe_san	84	0.6945	0.6885	-0.0060
doctors	102	0.6902	0.7223	0.0321
dentists	84	0.6840	0.6721	-0.0119
Pharmacists	79	0.6815	0.7575	0.0760
TB	183	-0.6702	-0.7836	-0.1134
cardio_cancer	183	-0.6623	-0.7173	-0.0550
birth_att_skilled	90	0.6615	0.3854	-0.2760
Malaria	107	-0.6509	-0.7417	-0.0908
HepB	183	-0.5695	-0.6647	-0.0952
HIV	116	-0.5412	-0.6082	-0.0670
alcohol	182	0.3735	0.3968	0.0233
Tobacco	144	0.2655	0.2909	0.0254
nursing_mid	128	0.1820	0.7214	0.5394
suicideRate	183	0.1793	0.2230	0.0437
NTD	183	-0.1120	-0.6867	-0.5747
